quote_count,name,created,text,user_screen_name,hashtags,retweet_count,tweet_id,reply_count,_id,link_to_count,favorite_count
0,JiDeSh,2018-12-15 06:58:39,RT @nanditathhakur: शंकर सिंह वाघेला जी ने एक बार कहा था 'अहमद पटेल वो है जो 15 राज्यों के मुख्यमंत्री तय करते है' लगता है आज कांग्रेस में…,JDsharma85,[],0,1073834704879538176,0,5c14a62971cf9413c95a6d77,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Dippy,2018-12-15 07:11:24,RT @virsanghvi: I know. Especially after Modiji won those landslide victories in Rajasthan MP and Chhatisgarh.... https://t.co/6idelRgiLH,Dippy_Chen,[],0,1073837916156129282,0,5c14a92771cf9414f3c85a5c,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,ModiFor2019,2018-12-15 07:11:27,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,visionbjp2019,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073837927468281856,0,5c14a92a71cf9414f3c85a5e,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,औघड़ बाबा 🗽,2018-12-15 07:11:30,RT @ashokgehlot51: Thank you @INCIndia for your goodwishes. https://t.co/BM2J7zF0XU,BBC_WorId,[],0,1073837939006816256,0,5c14a92c71cf9414f3c85a60,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Gopal Prasad,2018-12-15 07:11:30,"RT @The_ManishSood: We are proud that our Congress leader @SachinPilot, who has been appointed as deputy chief minister of Rajasthan is als…",GopalPrsad30,[],0,1073837938952298496,0,5c14a92c71cf9414f3c85a62,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Khabarpatri,2018-12-15 07:16:34,"લાંબી મડાગાંઠનો અંત : ગેહલોત રાજસ્થાનના મુખ્યમંત્રી તરીકે હશે

#Election #Ashokgehlot #rajasthan #CM https://t.co/gYPGmw8y67",khabarpatri,"[{u'indices': [63, 72], u'text': u'Election'}, {u'indices': [73, 85], u'text': u'Ashokgehlot'}, {u'indices': [86, 96], u'text': u'rajasthan'}, {u'indices': [97, 100], u'text': u'CM'}]",0,1073839217107718144,0,5c14aa5d71cf9415265437e6,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",0
0,Bihari Lal Gurjar,2018-12-15 07:16:35,RT @ashokgehlot51: Thank you @IYCPunjab for your goodwishes. https://t.co/KcGD6bVRQY,gurjar_bihari,[],0,1073839218374381568,0,5c14aa5d71cf9415265437e8,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Afzal Khan,2018-12-15 07:16:37,RT @ashokgehlot51: Thank you @IYCPunjab for your goodwishes. https://t.co/KcGD6bVRQY,e712a6afe7ad478,[],0,1073839229640327169,0,5c14aa6071cf9415265437ea,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Raja Khan,2018-12-15 07:23:29,RT @ashokgehlot51: Thank you @AmitChavdaINC ji for your goodwishes. https://t.co/aL1mcCecuQ,RajaKha18423263,[],0,1073840956103770112,0,5c14abfc71cf94156cfa624b,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,অবান,2018-12-15 07:23:30,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,Aban__Ind,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073840958356127749,0,5c14abfc71cf94156cfa624d,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Ashish kashyap,2018-12-15 07:23:30,"RT @sir_jenishpatel: 😲😱😥😟

सचिन पायलट को मुख्यमंत्री नही बनाया तो राहुल को जान से मारने की खुली धमकी करोली के भाई साहब की तरफ से..
.
.

अब…",JHA_7771,[],0,1073840960092626946,0,5c14abfd71cf94156cfa624f,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,SalluAlvi,2018-12-15 07:23:30,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,AlviSallu,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073840961309036544,0,5c14abfd71cf94156cfa6251,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,Prithvi,2018-12-15 07:23:31,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,prithvinamo,[],0,1073840963322298371,0,5c14abfd71cf94156cfa6253,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,SufyAN Baadshah✌,2018-12-15 07:23:32,RT @ashokgehlot51: Thank you @AmitChavdaINC ji for your goodwishes. https://t.co/aL1mcCecuQ,BaadshahSufyan,[],0,1073840966455373824,0,5c14abfe71cf94156cfa6255,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Harsh Tak,2018-12-15 07:23:32,RT @ashokgehlot51: Thank you @sushmitadevmp ji for your goodwishes. https://t.co/Oi7PHs4ocB,HarshTak14,[],0,1073840966602092544,0,5c14abfe71cf94156cfa6257,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Balwantsinghbhati,2018-12-15 07:23:34,RT @ashokgehlot51: Thank you @INCIndia for your goodwishes. https://t.co/BM2J7zF0XU,BSBHATIOFFICIAL,[],0,1073840975590567936,0,5c14ac0071cf94156cfa6259,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,@Nayyar_Gaur,2018-12-15 07:23:35,RT @ashokgehlot51: Thank you @AmitChavdaINC ji for your goodwishes. https://t.co/aL1mcCecuQ,nayyar76,[],0,1073840981185679360,0,5c14ac0271cf94156cfa625b,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
